Name,Picture Gallery/Hope Board,Camera,Personality Disorders,References/Information,App Reports Security Measures in Place,Collaborative With Provider/Other,Track Mood,Geolocation,Hybrid,Subscription,Accessibility,Well Written Relevant Content,Data Stored on Device,Substance Use,iCBT or Sleep Therapy,For Profit Company,DBT,Coach/Therapist Connection,Eating Disorders,Pain,Self-Harm,Spanish,Patient Facing,Can Delete Data,Sleep,Gamification (Points/Badges),Email or Export Your Data,Track Symptoms,Healthcare Company,Graphs of Data,Academic Institution,Real Time Response,User Generated Data,Does What it Claims,Payment,Deep Breathing,External Devices,Is PHI Shared,Claims to Not Replace Care,Notifications,Reminders,Meets HIPAA,CBT,Send Your Data to a Medical Record,Assessments/Screenings,Has Crisis Management Feature,Peer Support,Self Help,App Declares Data Use and Purpose,AI Support,In-App Purchase,Summary of Data,Psychoeducation,Social Network,Substance Use (Alcohol),Mood Disorders,Reference,Substance Use (Smoking & Tobacco),Free to Download,Mindfulness,Non-Profit Company,Supporting Studies,Data Stored on Server,Offline,PTSD,Schizophrenia,Videos,OCD,Physical Health Exercises,Productivity,Biodata,Link to Formal Care/Coaching,Phobias,De-Identified/Anonymized Data Shared,Government,Headache,Diary,Track Medication,Chat/Message,Track Sleep,Microphone,Network Support,Contact List,Bipolar Disorder,Stress & Anxiety,Surveys,Goal Setting/Habits,Bio Feedback with Sense Data,ACT,Can Cause Harm,Aggregated Data Shared,Has Privacy Policy,Chatbot Interaction,Can Opt Out of Data Collection,Physical Health,Totally Free,Journaling,Asynchronous Response,Own Your Own Data,Audio/Music/Scripts,Non-Specific,Appropriately Advises Patient in Case of Emergency,Step Count,Identify New Conditions,Cardiovascular Health
Intellect: Create a Better You,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
Intellect: Create a Better You,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
Intellect: Create a Better You,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
Intellect: Create a Better You,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Intellect: Create a Better You,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Intellect: Create a Better You,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Bipolar Test,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
Bipolar Test,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Bipolar Test,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Bipolar Test,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
